x1,x2
-1.0036924,-6.4039826
-1.0036924,-6.4039826
-0.6272599,-5.736909
-0.39900568,-5.029237
-0.2536008,-4.352198
-0.15588464,-3.735304
-0.086369045,-3.1889467
-0.033827137,-2.7122078
0.00850424,-2.3010643
0.044788435,-1.9485135
0.077844694,-1.6478529
0.10955748,-1.3922259
0.14131111,-1.1753747
0.17424063,-0.99182343
0.20926411,-0.836692
0.24719441,-0.7055993
0.28887892,-0.59495527
0.33507726,-0.50157714
0.38660383,-0.42274636
0.4444312,-0.35624763
0.50945956,-0.30008996
0.5828112,-0.25263304
0.6656369,-0.21248266
0.7594116,-0.17845885
0.8654254,-0.1494933
0.9854225,-0.124763
1.1213057,-0.10351548
1.2750477,-0.08508864
1.4494672,-0.06892427
1.6465712,-0.054452416
1.86966,-0.04118536
