x1,x2,x3,x4
0.5,0.5,-23.130817,-1.0525123
0.4768755,0.49894726,-23.11827,-1.052949
0.45376322,0.4978941,-23.106297,-1.0533623
0.43066254,0.49684054,-23.094904,-1.0537527
0.40757287,0.4957866,-23.084118,-1.0541214
0.38449332,0.49473226,-23.073881,-1.0544671
0.36142567,0.4936777,-23.064257,-1.0547917
0.33836138,0.49262255,-23.055216,-1.055095
0.3153144,0.4915675,-23.04679,-1.0553774
0.29227173,0.49051198,-23.038918,-1.0556382
0.26923645,0.48945624,-23.03166,-1.0558788
0.2462081,0.48840022,-23.024965,-1.0560981
0.22318478,0.48734397,-23.018887,-1.0562978
0.20017016,0.48628765,-23.013401,-1.0564773
0.1771593,0.48523107,-23.00853,-1.0566374
0.15415332,0.48417437,-23.004225,-1.0567772
0.1311503,0.48311752,-23.00051,-1.056897
0.10815159,0.48206058,-22.997417,-1.056998
0.08515588,0.48100355,-22.99489,-1.0570786
0.062162403,0.47994646,-22.992985,-1.0571406
0.039169528,0.47888926,-22.99164,-1.0571823
0.01617819,0.47783205,-22.990925,-1.0572058
-0.006812436,0.47677484,-22.990772,-1.0572088
-0.029803501,0.47571766,-22.99124,-1.0571934
-0.052795235,0.4746605,-22.992304,-1.0571585
-0.07578837,0.47360334,-22.993961,-1.0571043
-0.09878333,0.47254622,-22.996212,-1.0570308
-0.1217809,0.4714893,-22.999056,-1.0569376
-0.14478162,0.47043237,-23.002493,-1.0568247
-0.16778593,0.46937567,-23.006433,-1.0566902
-0.19079444,0.46831903,-23.011114,-1.0565395
-0.21380821,0.4672626,-23.016325,-1.0563673
-0.23682764,0.46620634,-23.022184,-1.0561762
-0.25985298,0.46515024,-23.028519,-1.0559623
-0.28288504,0.46409437,-23.035526,-1.05573
-0.30592424,0.46303883,-23.043123,-1.0554769
-0.32897148,0.4619835,-23.051308,-1.055203
-0.35202724,0.46092844,-23.060192,-1.0549105
-0.3750921,0.4598737,-23.069632,-1.054596
-0.39816684,0.4588193,-23.079624,-1.0542591
-0.4212516,0.4577652,-23.09014,-1.0538986
-0.44434735,0.45671147,-23.101353,-1.0535187
-0.4674546,0.45565817,-23.113052,-1.0531138
-0.49057367,0.45460528,-23.125332,-1.052686
-0.51370543,0.45355278,-23.13824,-1.0522362
-0.53685033,0.45250082,-23.151632,-1.0517603
-0.560009,0.4514493,-23.165657,-1.0512618
-0.5831819,0.45039833,-23.180338,-1.0507405
-0.60636985,0.44934782,-23.19558,-1.0501939
-0.62957317,0.44829795,-23.211449,-1.0496231
-0.65279275,0.44724864,-23.227789,-1.0490245
-0.67602885,0.44619992,-23.24472,-1.0483997
-0.69928235,0.44515184,-23.262232,-1.0477486
-0.72255355,0.44410443,-23.280302,-1.0470698
-0.74584335,0.4430577,-23.298922,-1.0463626
-0.76915175,0.4420117,-23.318148,-1.045628
-0.79247975,0.44096646,-23.337862,-1.0448629
-0.8158276,0.43992192,-23.358234,-1.0440701
-0.83919615,0.43887827,-23.379087,-1.0432454
-0.86258596,0.43783543,-23.400452,-1.042389
-0.8859974,0.43679345,-23.4224,-1.0415016
-0.90943116,0.43575242,-23.444887,-1.0405818
-0.9328875,0.4347123,-23.467981,-1.0396303
-0.9563672,0.43367308,-23.491543,-1.0386437
-0.9798711,0.43263492,-23.515656,-1.0376228
-1.0033989,0.43159783,-23.540337,-1.0365673
-1.026952,0.43056175,-23.56553,-1.0354756
-1.0505304,0.42952684,-23.591208,-1.0343462
-1.0741347,0.42849305,-23.617477,-1.0331805
-1.0977652,0.4274605,-23.644241,-1.031976
-1.1214226,0.42642915,-23.671593,-1.0307335
-1.1451082,0.42539907,-23.699348,-1.0294487
-1.1688218,0.4243703,-23.727654,-1.0281237
-1.1925641,0.42334285,-23.75647,-1.0267568
-1.216335,0.4223168,-23.78582,-1.0253478
-1.2401359,0.42129216,-23.815678,-1.023895
-1.2639664,0.420269,-23.846003,-1.0223968
-1.2878278,0.4192474,-23.876852,-1.0208538
-1.3117205,0.41822734,-23.90822,-1.0192643
-1.3356447,0.41720888,-23.940018,-1.0176264
-1.3596008,0.4161921,-23.972296,-1.0159397
-1.3835896,0.41517705,-24.005049,-1.0142032
-1.4076116,0.4141637,-24.038273,-1.0124156
-1.4316664,0.41315222,-24.07199,-1.0105768
-1.4557557,0.41214257,-24.106134,-1.0086843
-1.4798791,0.41113487,-24.140768,-1.006738
-1.5040375,0.41012907,-24.17585,-1.0047364
-1.5282309,0.40912536,-24.211403,-1.0026786
-1.5524606,0.40812376,-24.247396,-1.000563
-1.5767264,0.40712428,-24.283825,-0.99838847
-1.6010287,0.406127,-24.320732,-0.9961545
-1.6253679,0.405132,-24.35806,-0.9938591
-1.6497445,0.40413934,-24.39581,-0.99150103
-1.6741594,0.40314904,-24.43394,-0.9890787
-1.6986125,0.4021612,-24.472559,-0.9865921
-1.7231045,0.4011759,-24.51155,-0.9840386
-1.7476358,0.40019318,-24.55096,-0.9814174
-1.7722065,0.39921314,-24.590784,-0.97872746
-1.7968171,0.3982358,-24.630991,-0.97596675
-1.8214685,0.39726123,-24.671625,-0.9731347
-1.8461607,0.39628953,-24.71268,-0.9702296
-1.870894,0.39532074,-24.754099,-0.96724975
-1.8956686,0.394355,-24.7959,-0.9641939
-1.9204856,0.39339238,-24.838104,-0.9610607
-1.945345,0.39243293,-24.88065,-0.9578482
-1.9702469,0.39147672,-24.923532,-0.95455515
-1.995192,0.39052382,-24.966827,-0.95118046
-2.020181,0.38957435,-25.010443,-0.947722
-2.0452135,0.3886284,-25.054403,-0.9441785
-2.0702894,0.38768604,-25.09875,-0.94054884
-2.0954108,0.38674736,-25.14338,-0.9368304
-2.1205769,0.38581243,-25.188354,-0.93302244
-2.1457882,0.38488132,-25.233643,-0.9291231
-2.171044,0.3839542,-25.279295,-0.925131
-2.1963465,0.38303104,-25.32525,-0.9210442
-2.2216952,0.3821121,-25.37153,-0.9168612
-2.2470896,0.3811974,-25.418068,-0.91258
-2.2725313,0.380287,-25.464914,-0.90819937
-2.2980201,0.379381,-25.512033,-0.9037171
-2.323556,0.37847957,-25.559494,-0.899132
-2.3491395,0.37758276,-25.607222,-0.894442
-2.3747704,0.3766907,-25.655222,-0.88964564
-2.4004498,0.3758035,-25.703468,-0.8847408
