x1,x2
-1.2678545,-6.692199
-0.7830779,-6.0863204
-0.49524033,-5.3820415
-0.31610674,-4.68208
-0.19871518,-4.0321503
-0.11752793,-3.4500167
-0.057932153,-2.9391127
-0.011360928,-2.4961748
0.027385786,-2.1155117
0.061703727,-1.7899424
0.09381163,-1.5129038
0.12532945,-1.2778275
0.15751374,-1.0784681
0.19135933,-0.90985835
0.22771329,-0.76739395
0.2674035,-0.64700645
0.3111949,-0.5455315
0.35988835,-0.45988983
0.41445345,-0.38761553
0.47565502,-0.3265844
0.5446755,-0.27503663
0.62266886,-0.23135537
0.7107053,-0.1944783
0.81032765,-0.16315964
0.9230487,-0.13645764
1.0506152,-0.113606006
1.1953057,-0.09386437
1.3589573,-0.0766609
1.544065,-0.061443478
1.7536352,-0.047662467
1.9904904,-0.034812935
