x1,x2
-1.1181761,-6.791132
-0.801142,-6.0745983
-0.53632236,-5.3580093
-0.33655983,-4.6721025
-0.19690871,-4.035205
-0.10402898,-3.4582207
-0.04292034,-2.9463675
-0.00074383244,-2.5001347
0.031813532,-2.1160705
0.060650803,-1.7884109
0.08912356,-1.5103449
0.118969485,-1.2750556
0.15105142,-1.0762525
0.18585129,-0.90837073
0.22374573,-0.76661146
0.2651442,-0.64691013
0.31056672,-0.5458139
0.36065823,-0.46041596
0.41619974,-0.38826853
0.47812498,-0.3272957
0.54750144,-0.27575108
0.6255454,-0.23215416
0.7136097,-0.19524261
0.8131931,-0.16392753
0.92587364,-0.13726383
1.0532902,-0.114393175
1.1970513,-0.09450972
1.358571,-0.07681996
1.5389372,-0.060498416
1.7384993,-0.044672906
1.9566655,-0.028416514
