x1,x2
-1.1181762,-6.791132
-1.1178353,-6.790423
-1.1174942,-6.789711
-1.1171534,-6.7890015
-1.1168125,-6.7882905
-1.116472,-6.7875805
-1.1161306,-6.786869
-1.1157899,-6.786159
-1.1154497,-6.785449
-1.1151086,-6.7847376
-1.1147678,-6.7840285
-1.1144277,-6.783317
-1.1140869,-6.7826056
-1.1137463,-6.7818956
-1.1134058,-6.7811856
-1.1130654,-6.780474
-1.1127249,-6.7797637
-1.1123842,-6.7790523
-1.1120439,-6.7783413
-1.1117036,-6.7776313
-1.1113633,-6.776921
-1.1110232,-6.7762094
-1.1106827,-6.775498
-1.1103426,-6.774788
-1.1100024,-6.774076
-1.1096619,-6.773365
-1.1093221,-6.772655
-1.1089816,-6.7719436
-1.108642,-6.771233
-1.1083015,-6.770522
-1.1079614,-6.7698097
-1.1076216,-6.7690988
-1.1072817,-6.768387
-1.1069418,-6.7676764
-1.1066021,-6.7669644
-1.106262,-6.766254
-1.1059222,-6.765542
-1.1055824,-6.764831
-1.1052427,-6.76412
-1.104903,-6.763408
-1.1045636,-6.7626963
-1.1042238,-6.7619853
-1.1038842,-6.761276
-1.1035445,-6.7605615
-1.1032048,-6.7598505
-1.1028656,-6.75914
-1.1025257,-6.758426
-1.1021864,-6.7577157
-1.1018469,-6.757005
-1.1015078,-6.756293
-1.1011682,-6.7555804
-1.100829,-6.7548685
-1.1004899,-6.754157
-1.1001507,-6.7534466
-1.0998111,-6.752733
-1.099472,-6.752022
-1.0991325,-6.751309
-1.0987937,-6.7505975
-1.0984551,-6.749886
-1.0981157,-6.749174
-1.0977763,-6.748463
-1.0974375,-6.7477503
-1.0970991,-6.7470384
-1.0967598,-6.746325
-1.0964209,-6.745614
-1.0960821,-6.7449017
-1.0957435,-6.744189
-1.0954043,-6.7434764
-1.0950658,-6.7427654
-1.0947269,-6.742053
-1.0943884,-6.7413406
-1.0940497,-6.7406287
-1.0937111,-6.739917
-1.0933723,-6.7392035
-1.0930339,-6.7384906
-1.0926954,-6.7377787
-1.092357,-6.737066
-1.0920182,-6.736354
-1.0916805,-6.7356415
-1.0913417,-6.734929
-1.0910035,-6.734216
-1.0906653,-6.733504
-1.090327,-6.7327914
-1.0899887,-6.732079
-1.0896508,-6.731367
-1.0893121,-6.730653
-1.0889741,-6.72994
-1.0886362,-6.729228
-1.0882983,-6.728515
-1.0879601,-6.727802
-1.0876222,-6.7270885
-1.0872838,-6.7263775
-1.086946,-6.7256637
-1.0866084,-6.7249503
-1.0862705,-6.7242374
-1.0859327,-6.7235246
-1.0855953,-6.7228117
-1.085257,-6.7221003
-1.0849195,-6.7213864
-1.0845816,-6.720673
-1.0842443,-6.7199583
-1.0839067,-6.7192454
-1.083569,-6.7185335
-1.0832314,-6.71782
-1.0828938,-6.7171073
-1.0825564,-6.716394
-1.0822191,-6.71568
-1.0818818,-6.714967
-1.0815445,-6.7142534
-1.081207,-6.7135406
-1.0808696,-6.7128277
-1.0805326,-6.712114
-1.0801954,-6.711401
-1.0798582,-6.710687
-1.0795206,-6.709974
-1.0791837,-6.709261
-1.0788469,-6.7085466
-1.07851,-6.7078342
-1.0781728,-6.7071214
-1.0778362,-6.7064066
-1.077499,-6.7056937
-1.0771621,-6.7049785
-1.0768254,-6.7042656
-1.0764889,-6.703552
-1.0761516,-6.7028384
-1.0758151,-6.7021246
-1.0754784,-6.7014103
-1.0751413,-6.700696
-1.074805,-6.6999836
-1.0744683,-6.6992693
-1.0741317,-6.6985555
-1.0737956,-6.6978416
-1.0734584,-6.697128
-1.0731225,-6.696414
-1.0727856,-6.6957006
-1.0724491,-6.6949863
-1.0721133,-6.694273
-1.0717769,-6.69356
-1.0714407,-6.6928444
-1.0711043,-6.69213
-1.0707681,-6.691417
-1.070432,-6.6907024
-1.070096,-6.6899877
-1.06976,-6.689274
-1.0694237,-6.688559
-1.0690876,-6.6878448
-1.0687516,-6.6871314
-1.0684158,-6.686416
-1.0680796,-6.6857033
-1.0677441,-6.6849875
-1.0674084,-6.6842732
-1.0670725,-6.683559
-1.0667368,-6.6828446
-1.0664009,-6.682131
-1.0660651,-6.6814165
-1.0657296,-6.6807027
-1.0653944,-6.6799884
-1.065059,-6.679274
-1.0647227,-6.678559
-1.0643873,-6.6778436
-1.064052,-6.6771293
-1.0637167,-6.6764145
-1.0633811,-6.6757016
-1.0630459,-6.6749854
-1.0627109,-6.6742716
-1.0623751,-6.673557
-1.0620401,-6.6728425
-1.061705,-6.6721277
-1.0613695,-6.671412
-1.0610348,-6.670697
-1.0606996,-6.669983
-1.0603642,-6.6692686
-1.0600293,-6.6685534
-1.0596944,-6.667838
-1.0593594,-6.667123
-1.0590243,-6.6664076
-1.0586895,-6.665693
-1.0583551,-6.664979
-1.05802,-6.664263
-1.0576853,-6.663548
-1.0573506,-6.662834
-1.057016,-6.6621194
-1.0566813,-6.661402
-1.0563471,-6.660688
-1.0560122,-6.6599727
-1.0556774,-6.659258
-1.0553432,-6.6585426
-1.0550089,-6.657828
-1.0546744,-6.6571126
-1.0543399,-6.656397
-1.0540057,-6.6556816
-1.0536715,-6.654968
-1.0533373,-6.6542516
-1.053003,-6.653537
-1.0526687,-6.652821
-1.0523344,-6.652105
-1.0520003,-6.6513896
-1.0516664,-6.6506743
-1.0513325,-6.6499596
-1.0509982,-6.649244
-1.0506644,-6.648529
-1.0503306,-6.6478133
-1.0499971,-6.6470966
-1.0496633,-6.6463823
-1.0493292,-6.645666
-1.0489951,-6.64495
-1.0486618,-6.644235
-1.0483279,-6.643521
-1.0479947,-6.6428037
-1.0476607,-6.6420884
-1.0473269,-6.6413717
-1.0469939,-6.6406565
-1.0466602,-6.639941
-1.046327,-6.639226
-1.0459934,-6.638509
-1.0456603,-6.6377926
-1.0453267,-6.6370773
-1.0449938,-6.6363626
-1.0446601,-6.6356454
-1.0443273,-6.6349306
-1.0439938,-6.634214
-1.0436608,-6.633498
-1.0433276,-6.632783
-1.042995,-6.6320667
-1.0426615,-6.6313505
-1.0423286,-6.6306357
-1.041996,-6.6299195
-1.0416626,-6.629203
-1.04133,-6.628486
-1.0409975,-6.627771
-1.0406644,-6.627054
-1.0403315,-6.626337
-1.0399988,-6.6256213
-1.0396667,-6.624906
-1.0393336,-6.6241884
-1.0390015,-6.623474
-1.0386689,-6.622757
-1.0383364,-6.622042
-1.0380038,-6.621324
-1.0376713,-6.620607
-1.037339,-6.619892
-1.0370064,-6.619174
-1.0366745,-6.618459
-1.0363417,-6.6177435
-1.03601,-6.6170263
-1.0356774,-6.61631
-1.0353453,-6.615594
-1.0350134,-6.614877
-1.0346816,-6.61416
-1.0343492,-6.613444
-1.0340171,-6.6127276
-1.0336854,-6.6120114
-1.0333531,-6.611294
-1.0330217,-6.6105776
-1.0326896,-6.6098614
-1.0323579,-6.609144
-1.032026,-6.6084275
-1.0316947,-6.607712
-1.0313632,-6.606994
-1.0310315,-6.6062784
-1.0307002,-6.6055617
-1.0303681,-6.604844
-1.0300369,-6.6041265
-1.0297052,-6.603411
-1.0293741,-6.602694
-1.0290427,-6.6019773
-1.0287111,-6.601259
-1.0283799,-6.600543
-1.0280488,-6.5998254
-1.0277178,-6.599109
-1.0273863,-6.598392
-1.027055,-6.597675
-1.0267236,-6.596958
-1.0263933,-6.5962415
-1.0260625,-6.5955257
-1.0257313,-6.594808
-1.0254004,-6.594091
-1.0250695,-6.593373
-1.0247383,-6.5926566
-1.024408,-6.5919394
-1.0240768,-6.591221
-1.0237465,-6.590506
-1.0234153,-6.5897875
-1.0230849,-6.589071
-1.0227542,-6.5883546
-1.0224242,-6.587637
-1.0220933,-6.586919
-1.0217626,-6.586201
-1.0214329,-6.585485
-1.0211025,-6.584769
-1.0207715,-6.5840487
-1.0204413,-6.583333
-1.0201108,-6.5826154
-1.0197809,-6.581897
-1.0194509,-6.581181
-1.0191209,-6.580464
-1.0187907,-6.579746
-1.0184603,-6.579028
-1.0181305,-6.5783114
-1.0178008,-6.577594
-1.0174707,-6.576876
-1.0171409,-6.5761585
-1.0168102,-6.575439
-1.0164807,-6.574723
-1.0161514,-6.5740056
-1.0158215,-6.5732875
-1.0154914,-6.57257
-1.0151622,-6.571853
-1.0148323,-6.571135
-1.0145032,-6.5704184
-1.0141737,-6.5697002
-1.0138445,-6.568982
-1.0135151,-6.568266
-1.0131853,-6.5675464
-1.012856,-6.5668283
-1.0125272,-6.566111
-1.0121971,-6.565393
-1.0118679,-6.564675
-1.0115389,-6.5639577
-1.0112097,-6.5632405
-1.0108807,-6.562522
-1.0105517,-6.561805
-1.0102229,-6.561088
-1.0098939,-6.5603685
-1.0095646,-6.5596495
-1.0092359,-6.5589314
-1.0089078,-6.558216
-1.0085785,-6.557497
-1.00825,-6.5567784
-1.0079212,-6.5560603
-1.007592,-6.5553412
-1.0072634,-6.554624
-1.0069351,-6.5539055
-1.0066072,-6.5531898
-1.0062783,-6.552471
-1.0059505,-6.551754
-1.0056218,-6.5510345
-1.0052934,-6.550317
-1.0049644,-6.5495977
-1.0046364,-6.54888
-1.0043085,-6.548162
-1.0039803,-6.547444
-1.0036517,-6.546724
-1.0033238,-6.546006
-1.0029951,-6.5452876
-1.0026681,-6.544572
-1.0023401,-6.5438523
-1.0020112,-6.5431333
-1.001684,-6.542416
-1.0013564,-6.5416975
-1.0010278,-6.5409775
-1.0006998,-6.540258
-1.0003731,-6.539542
-1.0000448,-6.538823
-0.99971753,-6.538105
-0.9993897,-6.5373864
-0.9990629,-6.536669
-0.99873495,-6.53595
-0.99840784,-6.5352325
-0.99807894,-6.5345106
-0.99775285,-6.533795
-0.9974253,-6.5330753
-0.99709743,-6.5323563
-0.9967716,-6.5316396
-0.996443,-6.5309167
-0.99611694,-6.5302014
-0.9957887,-6.5294805
-0.99546224,-6.528764
-0.99513525,-6.528045
-0.99480915,-6.52733
-0.9944815,-6.526609
-0.99415374,-6.5258875
-0.99382734,-6.5251703
-0.99350077,-6.5244517
-0.9931747,-6.523734
-0.9928476,-6.523015
-0.99252206,-6.5222983
-0.99219334,-6.5215755
-0.9918679,-6.520859
-0.9915404,-6.520138
-0.99121433,-6.5194197
-0.990888,-6.518701
-0.99056244,-6.5179844
-0.99023604,-6.517265
-0.98990816,-6.5165434
-0.9895832,-6.515828
-0.9892571,-6.5151076
-0.988931,-6.5143886
-0.9886035,-6.5136676
-0.98827815,-6.5129504
-0.9879515,-6.5122294
-0.98762584,-6.511511
-0.98729986,-6.5107927
-0.9869737,-6.5100737
-0.9866483,-6.5093546
-0.9863214,-6.5086336
-0.98599666,-6.5079165
-0.98567,-6.5071945
-0.9853448,-6.5064783
-0.9850201,-6.50576
-0.9846944,-6.505042
-0.9843685,-6.5043206
-0.98404264,-6.503602
-0.98371685,-6.502881
-0.98339206,-6.502163
-0.98306596,-6.5014415
-0.9827401,-6.500722
-0.9824151,-6.5000043
-0.98209214,-6.4992895
-0.9817654,-6.498568
-0.98144066,-6.4978476
-0.9811143,-6.497127
-0.9807922,-6.496414
-0.98046505,-6.4956894
-0.98014075,-6.4949718
-0.97981745,-6.4942555
-0.979491,-6.4935327
-0.9791661,-6.4928145
-0.97884053,-6.492093
-0.97851586,-6.4913726
-0.9781914,-6.490654
-0.9778674,-6.489936
-0.9775418,-6.489213
-0.9772188,-6.488499
-0.97689337,-6.4877777
-0.9765688,-6.4870567
-0.97624284,-6.486335
-0.9759214,-6.4856215
-0.9755961,-6.4848986
-0.97527283,-6.4841814
-0.9749477,-6.483462
-0.9746249,-6.4827433
-0.9742999,-6.4820232
-0.97397256,-6.481296
-0.97365034,-6.4805803
-0.97332585,-6.47986
-0.97300375,-6.479143
-0.97267973,-6.478425
-0.9723568,-6.4777074
-0.9720337,-6.4769893
-0.97170687,-6.476262
-0.97138363,-6.4755445
-0.9710593,-6.4748225
-0.9707354,-6.474102
-0.9704116,-6.4733806
-0.9700888,-6.4726634
-0.96976495,-6.4719443
-0.9694414,-6.4712234
-0.9691154,-6.470498
-0.9687959,-6.469787
-0.9684723,-6.469067
-0.96815056,-6.4683495
-0.96782595,-6.467627
-0.9675023,-6.466905
-0.96717954,-6.466187
-0.96685475,-6.465464
-0.96653086,-6.464742
-0.9662098,-6.464024
-0.9658869,-6.4633055
-0.9655625,-6.4625826
-0.9652396,-6.4618626
-0.96491945,-6.4611483
